"No.","Time","Source","Destination","Protocol","Length","Info"
"2236","19.461568345","102.48.69.35","10.74.18.53","TCP","54","5075  >  80 [SYN] Seq=0 Win=512 Len=0"
"2237","19.471683457","124.116.202.182","10.74.18.53","TCP","54","5076  >  80 [SYN] Seq=0 Win=512 Len=0"
"2238","19.481857361","41.202.156.121","10.74.18.53","TCP","54","5077  >  80 [SYN] Seq=0 Win=512 Len=0"
"2239","19.491971415","22.40.35.243","10.74.18.53","TCP","54","5078  >  80 [SYN] Seq=0 Win=512 Len=0"
"2240","19.502152518","100.240.89.133","10.74.18.53","TCP","54","5079  >  80 [SYN] Seq=0 Win=512 Len=0"
"2241","19.512321512","98.57.169.213","10.74.18.53","TCP","54","5080  >  80 [SYN] Seq=0 Win=512 Len=0"
"2242","19.522523606","64.126.27.97","10.74.18.53","TCP","54","5081  >  80 [SYN] Seq=0 Win=512 Len=0"
"2243","19.532668296","127.91.182.220","10.74.18.53","TCP","54","5082  >  80 [SYN] Seq=0 Win=512 Len=0"
"2244","19.542843548","159.80.194.119","10.74.18.53","TCP","54","5083  >  80 [SYN] Seq=0 Win=512 Len=0"
"2245","19.552982949","10.78.33.121","10.74.18.53","TCP","54","5084  >  80 [SYN] Seq=0 Win=512 Len=0"
"2246","19.563162957","54.9.50.181","10.74.18.53","TCP","54","5085  >  80 [SYN] Seq=0 Win=512 Len=0"
"2247","19.573337065","196.117.157.165","10.74.18.53","TCP","54","5086  >  80 [SYN] Seq=0 Win=512 Len=0"
"2248","19.579820090","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.28? Tell 10.74.16.1"
"2249","19.583561935","121.98.34.150","10.74.18.53","TCP","54","5087  >  80 [SYN] Seq=0 Win=512 Len=0"
"2250","19.593746071","150.57.212.125","10.74.18.53","TCP","54","5088  >  80 [SYN] Seq=0 Win=512 Len=0"
"2251","19.603857612","214.27.184.202","10.74.18.53","TCP","54","5089  >  80 [SYN] Seq=0 Win=512 Len=0"
"2252","19.614031440","205.248.124.72","10.74.18.53","TCP","54","5090  >  80 [SYN] Seq=0 Win=512 Len=0"
"2253","19.624148560","73.129.125.121","10.74.18.53","TCP","54","5091  >  80 [SYN] Seq=0 Win=512 Len=0"
"2254","19.634295293","73.200.16.107","10.74.18.53","TCP","54","5092  >  80 [SYN] Seq=0 Win=512 Len=0"
"2255","19.644468359","41.144.157.161","10.74.18.53","TCP","54","5093  >  80 [SYN] Seq=0 Win=512 Len=0"
"2256","19.654663498","57.96.129.89","10.74.18.53","TCP","54","5094  >  80 [SYN] Seq=0 Win=512 Len=0"
"2257","19.664838974","3.234.218.2","10.74.18.53","TCP","54","5095  >  80 [SYN] Seq=0 Win=512 Len=0"
"2258","19.675012157","184.196.102.166","10.74.18.53","TCP","54","5096  >  80 [SYN] Seq=0 Win=512 Len=0"
"2259","19.685186402","210.193.63.116","10.74.18.53","TCP","54","5097  >  80 [SYN] Seq=0 Win=512 Len=0"
"2260","19.692225943","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.26? Tell 10.74.16.1"
"2261","19.695365392","80.153.145.196","10.74.18.53","TCP","54","5098  >  80 [SYN] Seq=0 Win=512 Len=0"
"2262","19.704461771","ProxmoxServe_6f:81:e8","Broadcast","ARP","60","Who has 10.74.17.251? Tell 10.74.18.6"
"2263","19.705528664","28.96.242.40","10.74.18.53","TCP","54","5099  >  80 [SYN] Seq=0 Win=512 Len=0"
"2264","19.715666716","102.255.209.175","10.74.18.53","TCP","54","5100  >  80 [SYN] Seq=0 Win=512 Len=0"
"2265","19.725841588","113.23.28.39","10.74.18.53","TCP","54","5101  >  80 [SYN] Seq=0 Win=512 Len=0"
"2266","19.735954261","134.137.145.150","10.74.18.53","TCP","54","5102  >  80 [SYN] Seq=0 Win=512 Len=0"
"2267","19.746128221","159.206.73.20","10.74.18.53","TCP","54","5103  >  80 [SYN] Seq=0 Win=512 Len=0"
"2268","19.750267810","ProxmoxServe_69:bd:fe","Broadcast","ARP","60","Who has 10.74.16.2? Tell 10.74.16.50"
"2269","19.756239455","213.161.234.116","10.74.18.53","TCP","54","5104  >  80 [SYN] Seq=0 Win=512 Len=0"
"2270","19.766413226","144.206.3.98","10.74.18.53","TCP","54","5105  >  80 [SYN] Seq=0 Win=512 Len=0"
"2271","19.774646683","fe80::4fa1:f0ed:ed6c:45e0","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2272","19.774647140","fe80::4fa1:f0ed:ed6c:45e0","ff02::1:3","LLMNR","86","Standard query 0x5a7b ANY julian"
"2273","19.774742638","10.74.17.135","224.0.0.252","LLMNR","66","Standard query 0x5a7b ANY julian"
"2274","19.775409493","fe80::4fa1:f0ed:ed6c:45e0","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2275","19.776593504","130.179.3.69","10.74.18.53","TCP","54","5106  >  80 [SYN] Seq=0 Win=512 Len=0"
"2276","19.786772045","196.27.255.91","10.74.18.53","TCP","54","5107  >  80 [SYN] Seq=0 Win=512 Len=0"
"2277","19.796926175","164.64.220.171","10.74.18.53","TCP","54","5108  >  80 [SYN] Seq=0 Win=512 Len=0"
"2278","19.807103927","171.255.16.211","10.74.18.53","TCP","54","5109  >  80 [SYN] Seq=0 Win=512 Len=0"
"2279","19.817279413","212.251.175.124","10.74.18.53","TCP","54","5110  >  80 [SYN] Seq=0 Win=512 Len=0"
"2280","19.824246155","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.24? Tell 10.74.16.1"
"2281","19.827454572","119.183.173.54","10.74.18.53","TCP","54","5111  >  80 [SYN] Seq=0 Win=512 Len=0"
"2282","19.837134420","10.74.18.24","224.0.0.251","MDNS","115","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question"
"2283","19.837134884","fe80::18fd:9e04:743e:4f42","ff02::fb","MDNS","135","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question"
"2284","19.837602299","165.44.109.122","10.74.18.53","TCP","54","5112  >  80 [SYN] Seq=0 Win=512 Len=0"
"2285","19.847719369","190.45.117.31","10.74.18.53","TCP","54","5113  >  80 [SYN] Seq=0 Win=512 Len=0"
"2286","19.857935627","2.90.140.233","10.74.18.53","TCP","54","5114  >  80 [SYN] Seq=0 Win=512 Len=0"
"2287","19.868072695","122.210.7.100","10.74.18.53","TCP","54","5115  >  80 [SYN] Seq=0 Win=512 Len=0"
"2288","19.878248251","31.64.149.150","10.74.18.53","TCP","54","5116  >  80 [SYN] Seq=0 Win=512 Len=0"
"2289","19.888419111","64.57.127.155","10.74.18.53","TCP","54","5117  >  80 [SYN] Seq=0 Win=512 Len=0"
"2290","19.892070721","fe80::4fa1:f0ed:ed6c:45e0","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"2291","19.898630149","110.45.143.182","10.74.18.53","TCP","54","5118  >  80 [SYN] Seq=0 Win=512 Len=0"
"2292","19.908778510","175.196.139.187","10.74.18.53","TCP","54","5119  >  80 [SYN] Seq=0 Win=512 Len=0"
"2293","19.918954096","218.112.73.153","10.74.18.53","TCP","54","5120  >  80 [SYN] Seq=0 Win=512 Len=0"
"2294","19.929128331","150.179.45.134","10.74.18.53","TCP","54","5121  >  80 [SYN] Seq=0 Win=512 Len=0"
"2295","19.939299805","243.171.134.74","10.74.18.53","TCP","54","5122  >  80 [SYN] Seq=0 Win=512 Len=0"
"2296","19.949481081","37.3.197.44","10.74.18.53","TCP","54","5123  >  80 [SYN] Seq=0 Win=512 Len=0"
"2297","19.959647086","210.240.175.110","10.74.18.53","TCP","54","5124  >  80 [SYN] Seq=0 Win=512 Len=0"
"2298","19.969838908","183.64.206.20","10.74.18.53","TCP","54","5125  >  80 [SYN] Seq=0 Win=512 Len=0"
"2299","19.970870977","fe80::4fa1:f0ed:ed6c:45e0","ff02::1:2","DHCPv6","120","Information-request XID: 0x441c75 CID: 000100012f25590a606d3cfccf76 "
"2300","19.979952141","124.57.122.233","10.74.18.53","TCP","54","5126  >  80 [SYN] Seq=0 Win=512 Len=0"
"2301","19.990099357","97.44.78.69","10.74.18.53","TCP","54","5127  >  80 [SYN] Seq=0 Win=512 Len=0"
"2302","20.000290782","157.149.3.119","10.74.18.53","TCP","54","5128  >  80 [SYN] Seq=0 Win=512 Len=0"
